user,text,type,ts
U05S28X7ETB,"Yes, my brother runs softwares company ",message,2023-09-29 16:30:58.640228864
U05S28X7ETB,I have asked him,message,2023-09-29 16:31:02.595848960
U05TQLV3ZC4,Ok. Need to find freelancer ,message,2023-09-29 16:31:47.415348992
U05S28X7ETB,Yeah i have asked him if he knows someone ,message,2023-09-29 16:32:12.615489024
U05TQLV3ZC4,<https://www.linkedin.com/posts/pawel-huryn_35-free-tools-for-product-managers-activity-7114301906516086784-h8Ty>,message,2023-10-01 22:00:51.307688960
U05S28X7ETB,thank you,message,2023-10-03 23:31:18.606929152
U05S28X7ETB,have a phone screen tomorrow,message,2023-10-03 23:31:26.153729024
U05S28X7ETB,got little caught up with that,message,2023-10-03 23:31:41.055949056
U05S28X7ETB,can we postpone todays call?,message,2023-10-03 23:32:00.704988928
U05TQLV3ZC4,"Yes, I'm also under the weather ",message,2023-10-04 00:10:33.339819008
U05TQLV3ZC4,Been sick since last few days ,message,2023-10-04 00:10:45.911009024
U05S28X7ETB,"Oh! Okay!
Take care! Get well soon",message,2023-10-04 01:28:26.031378944
U05TQLV3ZC4,you too. Thanks!,message,2023-10-04 02:09:22.979688960
U05TQLV3ZC4,Hello Mrunal - Hope all is well. Sorry for disappearing for a week. I had viral infection so took off from work completely.,message,2023-10-10 05:07:21.341928960
U05TQLV3ZC4,Let's me how things are going at your end and what time you'd like to connect tomorrow,message,2023-10-10 05:07:38.651469056
U05S28X7ETB,"Hey Satish, I understand! Hope you are feeling well. I have been quite busy last week. Have an interview tomorrow (wed)",message,2023-10-10 11:57:23.728668928
U05S28X7ETB,Been preparing and focusing on that,message,2023-10-10 11:57:37.895719168
U05S28X7ETB,Got my ead card so primary focus has been job hunting ,message,2023-10-10 11:57:59.160708864
U05S28X7ETB,"Yes, we can connect todat",message,2023-10-10 11:58:17.117659136
U05TQLV3ZC4,<https://www.wealthfront.com/blog/career-launching-companies-list/#companies-list>,message,2023-10-11 03:59:01.357508864
U05S28X7ETB,Thank youu ,message,2023-10-11 05:27:04.496459008
U05TG4W1YUF,Nikhil Kumar accepted your invitation to join Slack — take a second to say hello.,message,2023-09-26 05:32:21.666639104
U05TZ4E0G5A,Shubhangi joined Slack — take a second to say hello.,message,2023-09-26 05:40:52.923089152
USLACKBOT,,message,2023-09-28 05:00:52.628808960
U05TTNUB27P,Sajal joined Slack — take a second to say hello.,message,2023-09-27 13:31:24.578509056
U05TTNUB27P,"Hey <@U05TQLV3ZC4>, had a call with Nikhil - regarding my availability. As he might have shared that we work late night, so it gets difficult to join the call. Apologies for it. Further, I'll try my best to join the calls also I'll start dropping updates on daily basis in dev-team channel.",message,2023-10-04 06:17:10.297389056
U05TTNUB27P,"Hi, I'm unable to access Devteam sync-up doc",message,2023-10-14 06:09:47.013298944
U05TQLV3ZC4,Strange,message,2023-10-14 06:38:25.530689024
U05TQLV3ZC4,,message,2023-10-14 06:38:52.640708864
U05TQLV3ZC4,Try this link; <https://docs.google.com/document/d/1iryI8Ws_K2jl6c0ZoeYpHyt8gNb_LS7f-VP27hBL8pQ/edit?usp=sharing>,message,2023-10-14 06:39:08.927779072
U05TTNUB27P,Updated.,message,2023-10-14 07:12:36.125978880
U05TTNUB27P,join kaise kre?,message,2023-09-28 05:35:07.745868800
U05TG4W1YUF,kch bolna,message,2023-09-28 06:09:05.090758912
U05TTNUB27P,kya bole isme? :joy:,message,2023-09-28 06:09:27.785099008
U05TTNUB27P,1. independent schemas,message,2023-10-07 06:04:05.670169088
U05TTNUB27P,"1. Independent schemas
2. File upload Option
3. prod &amp; test server
4. Micro-service -- Maybe
5. Diff pipeline for different app
6. Usage of each component to be updated in Architecture.
7. Optimization of Uploading file i.e if possible, we are passing it through a pre-process layer so that we will only save clean data ( removal of duplicates, null values etc ) -- Research
8. Providing confidence score before processing. using ML ( Bag of words )
9. Explore - <https://cloud.google.com/architecture/framework/system-design/data-analytics>
10. User Management for Application ( Kentron )
11. Data Encryption -- Research [ <https://onna.com/trust-center-data-security> }
12. Usage of ML wherever possible.
",message,2023-10-07 07:07:01.821979136
U05TTNUB27P,"```from sklearn.feature_extraction.text import CountVectorizer
from sklearn.metrics.pairwise import cosine_similarity
import numpy as np

def calculate_word_confidence(batch_of_words, target_word):
    """"""
    Calculate confidence score for a specific word across all sentences in a batch of words using Bag of Words (BoW).

    Args:
    - batch_of_words (list): A list of words or sentences in the batch.
    - target_word (str): The word for which confidence score will be calculated.

    Returns:
    - confidence_score (float): Confidence score for the target word across all sentences.
    """"""

    # Step 1: Create a BoW representation of the batch of words
    vectorizer = CountVectorizer()
    X = vectorizer.fit_transform(batch_of_words)

    # Step 2: Calculate the BoW representation of the target word
    target_word_vector = vectorizer.transform([target_word])

    # Step 3: Calculate cosine similarity between the target word and all sentences in the batch
    cosine_similarities = cosine_similarity(X, target_word_vector)

    # Step 4: Extract the maximum confidence score (highest similarity) across all sentences
    confidence_score = np.max(cosine_similarities)

    return confidence_score

# Example usage:
batch_of_words = [
    ""This is an example sentence."",
    ""Another example for testing."",
    ""Yet another example.""
]
target_word = ""this""

confidence_score = calculate_word_confidence(batch_of_words, target_word)

# Display the confidence score across all sentences
print(f""Confidence score for word '{target_word}' across all sentences: {confidence_score:.4f}"")```",message,2023-10-09 17:41:55.203028992
U05TTNUB27P,"• Research on google workspace Connectors -- Hangouts, Gmail, Keep, Google Vault
• Database Schema 
• Slack Data Processing - Continue. ",message,2023-10-14 06:07:17.495538944
U05TTNUB27P,google-api-python-client,message,2023-10-16 05:21:00.595238912
U05TZ4E0G5A,Shubhangi joined Slack — take a second to say hello.,message,2023-09-26 05:40:53.660208896
U05TTNUB27P,Sajal joined Slack — take a second to say hello.,message,2023-09-27 13:31:25.795428864
U05TG4W1YUF,Nikhil Kumar joined Slack — take a second to say hello.,message,2023-09-26 05:32:24.257199104
USLACKBOT,Your Slack export has completed! You can download the file from <https://kentronhq.slack.com/services/export|your export page>.,message,2023-10-03 11:28:11.327769088
USLACKBOT,Your application for data exports including direct messages and private channels has been approved. <https://slack.com/help/articles/204897248-Guide-to-Slack-import-and-export-tools|Learn how to export data.>,message,2023-10-08 16:54:54.782699008
USLACKBOT,Your Slack export has completed! You can download the file from <https://kentronhq.slack.com/services/export|your export page>.,message,2023-10-09 05:29:31.296638976
U05TZ4E0G5A,Shubhangi has accepted your invitation to join Slack – take a second to say hello.,message,2023-09-26 05:40:52.071139072
U05TG4W1YUF,"Sign-in/Sign-up, User data, Tenant, Connectors ( Slack, Google Workspace) , Admin.. !!",message,2023-10-10 06:25:15.174798848
